"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Volume of Sales","2010 September","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","474"
"Volume of Sales","2010 September","Existing","All","Executions","Household Buyer - Non-Occupier","Number","161"
"Volume of Sales","2010 October","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1572"
"Volume of Sales","2010 October","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","801"
"Volume of Sales","2010 October","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","550"
"Volume of Sales","2010 October","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","221"
"Volume of Sales","2010 October","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1565"
"Volume of Sales","2010 October","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","793"
"Volume of Sales","2010 October","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","543"
"Volume of Sales","2010 October","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","229"
"Volume of Sales","2010 October","New","All","Filings","All Buyer Types","Number","419"
"Volume of Sales","2010 October","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","209"
"Volume of Sales","2010 October","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","145"
"Volume of Sales","2010 October","New","All","Filings","Household Buyer - Non-Occupier","Number","65"
"Volume of Sales","2010 October","New","All","Executions","All Buyer Types","Number","390"
"Volume of Sales","2010 October","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","189"
"Volume of Sales","2010 October","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","138"
"Volume of Sales","2010 October","New","All","Executions","Household Buyer - Non-Occupier","Number","63"
"Volume of Sales","2010 October","Existing","All","Filings","All Buyer Types","Number","1153"
"Volume of Sales","2010 October","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","592"
"Volume of Sales","2010 October","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","405"
"Volume of Sales","2010 October","Existing","All","Filings","Household Buyer - Non-Occupier","Number","156"
"Volume of Sales","2010 October","Existing","All","Executions","All Buyer Types","Number","1175"
"Volume of Sales","2010 October","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","604"
"Volume of Sales","2010 October","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","405"
"Volume of Sales","2010 October","Existing","All","Executions","Household Buyer - Non-Occupier","Number","166"
"Volume of Sales","2010 November","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1738"
"Volume of Sales","2010 November","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","883"
"Volume of Sales","2010 November","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","600"
"Volume of Sales","2010 November","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","255"
"Volume of Sales","2010 November","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1455"
"Volume of Sales","2010 November","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","750"
"Volume of Sales","2010 November","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","487"
"Volume of Sales","2010 November","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","218"
"Volume of Sales","2010 November","New","All","Filings","All Buyer Types","Number","519"
"Volume of Sales","2010 November","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","272"
"Volume of Sales","2010 November","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","169"
"Volume of Sales","2010 November","New","All","Filings","Household Buyer - Non-Occupier","Number","78"
"Volume of Sales","2010 November","New","All","Executions","All Buyer Types","Number","381"
"Volume of Sales","2010 November","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","213"
"Volume of Sales","2010 November","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","111"
"Volume of Sales","2010 November","New","All","Executions","Household Buyer - Non-Occupier","Number","57"
"Volume of Sales","2010 November","Existing","All","Filings","All Buyer Types","Number","1219"
"Volume of Sales","2010 November","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","611"
"Volume of Sales","2010 November","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","431"
"Volume of Sales","2010 November","Existing","All","Filings","Household Buyer - Non-Occupier","Number","177"
"Volume of Sales","2010 November","Existing","All","Executions","All Buyer Types","Number","1074"
"Volume of Sales","2010 November","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","537"
"Volume of Sales","2010 November","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","376"
"Volume of Sales","2010 November","Existing","All","Executions","Household Buyer - Non-Occupier","Number","161"
"Volume of Sales","2010 December","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1448"
"Volume of Sales","2010 December","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","802"
"Volume of Sales","2010 December","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","433"
"Volume of Sales","2010 December","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","213"
"Volume of Sales","2010 December","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1635"
"Volume of Sales","2010 December","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","812"
"Volume of Sales","2010 December","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","589"
"Volume of Sales","2010 December","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","234"
"Volume of Sales","2010 December","New","All","Filings","All Buyer Types","Number","411"
